x	S_k
-2.0	1.5592687330077502e-16
-1.996	0.00799684244968082
-1.992	0.0159747569442613
-1.988	0.023914902180475896
-1.984	0.031798609775230885
-1.98	0.039607469768614234
-1.976	0.04732341498300334
-1.972	0.05492880386462508
-1.968	0.06240650144042002
-1.964	0.06973995803116632
-1.96	0.07691328537142952
-1.956	0.08391132979806565
-1.952	0.09071974218157561
-1.948	0.09732504428860284
-1.944	0.10371469127922181
-1.94	0.10987713005927169
-1.936	0.11580185322581488
-1.932	0.12147944836278456
-1.928	0.12690164246389846
-1.924	0.13206134128090596
-1.92	0.13695266341713924
-1.916	0.1415709690089948
-1.912	0.14591288286134677
-1.908	0.14997631192688093
-1.904	0.15376045704379512
-1.9	0.1572658188711785
-1.896	0.16049419798655923
-1.892	0.1634486891354343
-1.888	0.16613366964802503
-1.884	0.16855478206390562
-1.88	0.17071891103039538
-1.876	0.17263415456562725
-1.8719999999999999	0.17430978980187528
-1.8679999999999999	0.1757562333489283
-1.8639999999999999	0.17698499644095778
-1.8599999999999999	0.1780086350533267
-1.8559999999999999	0.17884069519802964
-1.8519999999999999	0.17949565362784475
-1.8479999999999999	0.17998885419973637
-1.8439999999999999	0.18033644016746153
-1.8399999999999999	0.18055528269164794
-1.8359999999999999	0.18066290587271955
-1.8319999999999999	0.1806774086279045
-1.8279999999999998	0.18061738374806416
-1.8239999999999998	0.18050183448319143
-1.8199999999999998	0.18035008901709682
-1.8159999999999998	0.18018171320192414
-1.8119999999999998	0.18001642193174228
-1.8079999999999998	0.17987398954144132
-1.8039999999999998	0.17977415962253548
-1.7999999999999998	0.1797365546511712
-1.7959999999999998	0.1797805858256885
-1.7919999999999998	0.17992536351142713
-1.7879999999999998	0.18018960868911976
-1.7839999999999998	0.180591565800183
-1.7799999999999998	0.18114891737751598
-1.7759999999999998	0.18187870084400473
-1.7719999999999998	0.1827972278529259
-1.7679999999999998	0.1839200065347979
-1.7639999999999998	0.1852616670039894
-1.7599999999999998	0.18683589046566035
-1.7559999999999998	0.188655342249352
-1.7519999999999998	0.1907316090798684
-1.7479999999999998	0.19307514087903654
-1.7439999999999998	0.1956951973736012
-1.7399999999999998	0.1985997997649118
-1.7359999999999998	0.20179568769532885
-1.7319999999999998	0.20528828172447433
-1.7279999999999998	0.2090816515056776
-1.7239999999999998	0.21317848982927137
-1.7199999999999998	0.21758009267493963
-1.7159999999999997	0.2222863453901644
-1.7119999999999997	0.2272957150860233
-1.7079999999999997	0.23260524931540133
-1.7039999999999997	0.23821058107202034
-1.6999999999999997	0.2441059401218005
-1.6959999999999997	0.25028417065103237
-1.6919999999999997	0.2567367551887305
-1.6879999999999997	0.26345384473349204
-1.6839999999999997	0.2704242949883478
-1.6799999999999997	0.27763570858050596
-1.6759999999999997	0.2850744831167284
-1.6719999999999997	0.2927258648994076
-1.6679999999999997	0.3005740081033946
-1.6639999999999997	0.3086020391892724
-1.6599999999999997	0.3167921263053159
-1.6559999999999997	0.3251255534077809
-1.6519999999999997	0.3335827988076444
-1.6479999999999997	0.3421436178314815
-1.6439999999999997	0.3507871292649487
-1.6399999999999997	0.3594919052294071
-1.6359999999999997	0.3682360641256514
-1.6319999999999997	0.3769973662635995
-1.6279999999999997	0.38575331178316835
-1.6239999999999997	0.39448124045952687
-1.6199999999999997	0.40315843297549636
-1.6159999999999997	0.4117622132351365
-1.6119999999999997	0.42027005128552886
-1.6079999999999997	0.4286596664085041
-1.6039999999999996	0.43690912994059145
-1.5999999999999996	0.4449969673777782
-1.5959999999999996	0.45290225932182804
-1.5919999999999996	0.460604740826884
-1.5879999999999996	0.4680848987088729
-1.5839999999999996	0.47532406638586533
-1.5799999999999996	0.48230451582497635
-1.5759999999999996	0.48900954618060144
-1.5719999999999996	0.49542356871975285
-1.5679999999999996	0.5015321876429547
-1.5639999999999996	0.5073222764235135
-1.5599999999999996	0.5127820493039554
-1.5559999999999996	0.5179011276059969
-1.5519999999999996	0.5226706005294453
-1.5479999999999996	0.5270830801359212
-1.5439999999999996	0.5311327502351417
-1.5399999999999996	0.5348154089146135
-1.5359999999999996	0.5381285044778894
-1.5319999999999996	0.541071164581945
-1.5279999999999996	0.5436442183906253
-1.5239999999999996	0.5458502115884064
-1.5199999999999996	0.5476934141268006
-1.5159999999999996	0.549179820604503
-1.5119999999999996	0.5503171432117092
-1.5079999999999996	0.5511147971988343
-1.5039999999999996	0.5515838788599864
-1.4999999999999996	0.5517371360519039
-1.4959999999999996	0.5515889312995148
-1.4919999999999995	0.5511551975697031
-1.4879999999999995	0.5504533868251575
-1.4839999999999995	0.5495024115001954
-1.4799999999999995	0.5483225790700959
-1.4759999999999995	0.5469355199146089
-1.4719999999999995	0.5453641087048136
-1.4679999999999995	0.5436323795702777
-1.4639999999999995	0.5417654353303891
-1.4599999999999995	0.5397893510996822
-1.4559999999999995	0.5377310726018769
-1.4519999999999995	0.5356183095510622
-1.4479999999999995	0.5334794244808923
-1.4439999999999995	0.5313433174237419
-1.4399999999999995	0.5292393068613875
-1.4359999999999995	0.5271970073868513
-1.4319999999999995	0.5252462045335069
-1.4279999999999995	0.5234167272423108
-1.4239999999999995	0.521738318451029
-1.4199999999999995	0.5202405043005127
-1.4159999999999995	0.5189524624624142
-1.4119999999999995	0.5179028901001147
-1.4079999999999995	0.5171198719801033
-1.4039999999999995	0.516630749254514
-1.3999999999999995	0.5164619894369704
-1.3959999999999995	0.5166390580933463
-1.3919999999999995	0.5171862927664485
-1.3879999999999995	0.5181267796490018
-1.3839999999999995	0.5194822335126857
-1.3799999999999994	0.52127288139232
-1.3759999999999994	0.5235173505136638
-1.3719999999999994	0.5262325609407357
-1.3679999999999994	0.5294336234040535
-1.3639999999999994	0.5331337427548677
-1.3599999999999994	0.5373441274722994
-1.3559999999999994	0.5420739056303968
-1.3519999999999994	0.5473300477105432
-1.3479999999999994	0.5531172966214901
-1.3439999999999994	0.5594381052645705
-1.3399999999999994	0.5662925819555278
-1.3359999999999994	0.5736784439869416
-1.3319999999999994	0.581590979586508
-1.3279999999999994	0.5900230184966005
-1.3239999999999994	0.5989649113696884
-1.3199999999999994	0.6084045181423895
-1.3159999999999994	0.6183272055183824
-1.3119999999999994	0.6287158536571678
-1.3079999999999994	0.6395508721318522
-1.3039999999999994	0.650810225184941
-1.2999999999999994	0.6624694662765994
-1.2959999999999994	0.6745017818851793
-1.2919999999999994	0.6868780444850895
-1.2879999999999994	0.6995668745924951
-1.2839999999999994	0.7125347117349293
